id;naissanceDate;naissanceLieu;profession;classe;matricule;engageVolontaire;engageAnnee;uniteAffectation;decesLieu;decesDepartement;decesAge;residenceCanton;residenceCommune;residenceAdresse;grade;lieuSepulture;matriculeArme
7017;11/04/1895;Crossac;;1915;2081;;;35 Régiment d'infanterie;Berméricourt;Marne;22;Pontchâteau;Crossac;;Soldat;;1
7018;10/02/1895;Crossac;;1915;2083;;;114 Régiment d'infanterie;Esnes - Côtes 304 - Combats de Verdun;Meuse;21;Pontchâteau;Crossac;;Soldat;;1
7019;02/02/1887;Crossac;;1907;2278;;;367 Régiment d'infanterie;Bonnes;Aisne;31;Besné;Crossac;;Soldat;;1
7020;03/06/1879;Crossac;;1899;2471;;;265 Régiment d'infanterie;Fay - Est;Somme;37;Pontchâteau;Crossac;;Soldat;Nécropole Nationale Dompierre Becquincourt ;1
7021;;;;;;;;;;;;;;;Caporal;;0
7022;28/03/1892;Sion-les-Mines;;;557;;;77 Régiment d'infanterie;La Côte 304 - Combats de Verdun;Meuse;24;Derval;Sion-les-Mines;;;;1
7023;03/07/1891;Sucé-sur-Erdre;sabotier;1911;3431;;;337 Régiment d'infanterie;Perthes-les-Hurlus;Marne;24;Saint-Gildas-des-Bois;Saint-Gildas-des-Bois;;Soldat;Nécropole Nationale La Crouée - Souain Perthes les Hurlus;1
7024;25/08/1892;Saint-Gildas-des-Bois;cultivateur;1912;1463;;;137 Régiment d'infanterie;Thiaumont;Meuse;23;Saint-Gildas-des-Bois;Saint-Gildas-des-Bois;;Soldat;;1
7025;18/06/1890;Sainte-Reine-de-Bretagne;;;;;;137 Régiment d'infanterie;La Fère Champenoise;Marne;24;;Sainte-Reine-de-Bretagne;;Soldat;;1
7026;10/09/1885;Ercé-en-Lamée;;;987;;;120 Régiment d'infanterie;Belloy-en-Santerre;Somme;30;Derval;Sion-les-Mines;;Soldat;;1
7027;02/06/1893;Nantes;;;;;;146 Régiment d'infanterie;Valmy;Marne;22;;Nantes;;Soldat;Nécropole Nationale Pont de Marson - Minaucourt le Mesnil les Hurlus;1
7028;08/04/1893;Paris;;;;;;79 Régiment d'infanterie;Saint-Nazaire Hôpital Temporaire ;Loire Inférieure;21;;Saint-Nazaire;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
7029;07/03/1888;Marsac-sur-Don;;1908;2239;;;64 Régiment d'infanterie;Bulson;Ardennes;26;Guémené-Penfao;Marsac-sur-Don;;Soldat;;1
7030;03/12/1881;Marsac-sur-Don;;1901;2143;;;41 Régiment d'infanterie;Florent en Argonne - Ambulance n°3;Marne;33;Guémené-Penfao;Marsac-sur-Don;;Soldat;Nécropole Nationale Florent en Argonne;1
7031;29/06/1898;Nantes;;;;;;203 Régiment d'artillerie de campagne;Bézannes;Marne;19;;Nantes;;Canonnier Servant ;Nécropole Nationale La Croix Ferlin - Bligny;1
7032;16/05/1896;Saint-Nicolas-de-Redon;;1916;1030;;;9 Régiment du génie;Redon;Ille-et-Vilaine;20;Saint-Nicolas-de-Redon;Saint-Nicolas-de-Redon;;;;1
7033;17/08/1881;Saint-Nicolas-de-Redon;;1901;;;;5 Section de commis et d'ouvriers d'administration;Sens - Hôpital Mixte;Yonne;37;Saint-Nicolas-de-Redon;Saint-Nicolas-de-Redon;;Sapeur-Mineur;Carré Militaire Sens;0
7034;07/03/1875;Valenciennes;;;;;;65 Régiment d'infanterie;Beth;Belgique;39;;Nantes;;Capitaine;Cimetière de la miséricorde - Nantes;0
7035;24/03/1886;Conquereuil;;1906;2566;;;28 Régiment d'artillerie;Mont Saint Eloi - Côte 124;Pas-de-Calais;29;Guémené-Penfao;Conquereuil;;Canonnier Servant ;Nécropole Nationale Notre Dame de Lorette - Ablain Saint Nazaire;1
7036;;;;;;;;;;;;;Nantes;;;;1
7037;01/12/1894;Soudan;cultivateur;;673;;;3 Régiment mixte de zouaves et tirailleurs;Beveren - Hôpital n°1;Belgique;20;Châteaubriant;Soudan;la Martinais;Soldat;Carré Militaire Roulers;1
7038;26/07/1876;Nantes;;;;;;2 Régiment d'infanterie coloniale;Souain;Marne;39;;Nantes;;Sergent-Major;;1
7039;10/11/1897;Saffré;;;;;;94 Régiment d'infanterie;Berry au Bac - Guignicourt;Aisne;19;;Saffré;;Soldat;Nécropole Nationale Berry au Bac;0
7041;16/03/1878;Saint-Nicolas-de-Redon;;1898;2182;;;65 Régiment d'infanterie;Nantes - Hôpital Militaire Broussais;Loire Inférieure;38;Saint-Nicolas-de-Redon;Saint-Nicolas-de-Redon;;Soldat;Carré Militaire La Bouteillerie - Nantes;1
7042;16/10/1895;Puceul;;;;;;62 Régiment d'infanterie;Tahure;Marne;19;;Chevallerais, La;;Soldat;;1
7043;17/08/1883;Riaillé;domestique;1903;176;;;64 Régiment d'infanterie;Boisselle, La;Somme;31;Riaillé;Riaillé;;Soldat;;1
7044;11/12/1879;Riaillé;horloger;1899;300;;;264 Régiment d'infanterie;Villers-Cotterêts;Aisne;35;Riaillé;Riaillé;;Soldat;Nécropole Nationale de Villers-Cotterêts;1
7045;30/05/1889;Bonnoeuvre;;1909;463;;;64 Régiment d'infanterie;Scheissenselle;Allemagne;29;Saint-Mars-la-Jaille;Bonnoeuvre;;Soldat;Nécropole Nationale Prisonniers de Guerre 1914-1918 - Sarrebourg;1
7046;14/02/1898;Grand-Auverné;;1918;;;;26 Régiment d'infanterie;Entre la Lys et L'Escaut;Belgique;20;Moisdon-la-Rivière;Grand-Auverné;;Soldat;;0
7047;24/12/1891;Nantes;;;;;;Régiment d'infanterie coloniale du Maroc;Près du Fort de Vaux;Meuse;24;;Nantes;;Soldat;Nécropole Nationale Douaumont - Fleury devant Douaumont;1
7048;22/01/1894;Mésanger;;;;;;161 Régiment d'infanterie;Vadelaincourt - Hôpital n°12;Meuse;22;;Nantes;;Soldat;Nécropole Nationale Vadelaincourt;1
7049;24/07/1879;Brest;;;;;;301 Régiment d'infanterie;Aux Eparges;Meuse;35;;Nantes;;Sergent;;1
7050;07/12/1876;Sucé-sur-Erdre;;;;;;82 Régiment d'infanterie territoriale;Rouen;Seine Inférieure;37;;Nort-sur-Erdre;;Soldat;Carré Communal Rouen Cimetière de l'Ouest;1
7051;06/09/1886;Nantes;;;;;;72 Régiment d'infanterie;Maizeray;Meuse;28;;Nantes;;Soldat;;1
7052;14/01/1890;Saint-Lumine-de-Clisson;;1910;1219;;;135 Régiment d'infanterie;Sizerne;Belgique;25;Clisson;Saint-Lumine-de-Clisson;;Soldat;;1
7053;16/01/1898;Clisson;;1918;1491;;;65 Régiment d'infanterie;Nantes - Hôpital Militaire Broussais;Loire Inférieure;21;Clisson;Saint-Lumine-de-Clisson;;Soldat;;1
7054;24/09/1881;Planche, La;cultivateur;1901;1660;;;59 Régiment d'infanterie;Rouen - Hôpital Auxiliaire n°42 Bis;Seine Inférieure;36;Aigrefeuille-sur-Maine;Planche, La;;Soldat;Carré Communal Rouen Saint-Sever;1
7055;12/12/1897;Montoir;;;;;;216 Régiment d'infanterie;Verun - Ambulance 6/7;Meuse;20;;Savenay;;Soldat;;1
7056;12/12/1897;Montoir;;;;;;216 Régiment d'infanterie;Verdun - Ambulance 6/7 (Glorieux);Meuse;20;;Lavau-sur-Loire;;Soldat;;1
7057;26/05/1886;Nantes;;;;;;51 Régiment d'infanterie;Tahure;Marne;29;;Nantes;;Soldat;Nécropole Nationale Jonchery sur Suippe;1
7058;;;;;;;;347 Régiment d'infanterie;;Loire Inférieure;;;Savenay ;;Soldat ;Carré Militaire Savenay;0
7059;28/10/1897;Vertou;;;;;;41 Régiment d'infanterie;Rennes;Ille-et-Vilaine;19;;Vertou;;Soldat;Carré Militaire Cimetière de l'Est - Rennes;1
7061;30/03/1888;Saint-Jean-de-Boiseau;;;;;;65 Régiment d'infanterie;Acheux;Somme;27;;Nantes;;Adjudant;;1
7062;05/12/1884;Carquefou;;1904;353;;;2 Régiment d'artillerie de montagne;Douaumont;Meuse;22;Carquefou;Carquefou;;Canonnier;Nécropole Nationale Faubourg Pavé - Verdun - Tombe 1190;1
7063;16/06/1883;Thouaré-sur-Loire;cultivateur;1903;387;;;64 Régiment d'infanterie;Auchonvillers;Somme;31;Loroux-Bottereau, Le;Saint-Julien-de-Concelles;Haut-Village;Soldat;Carré communal Warloy-Baillon - Tombe 57;1
7064;31/12/1890;Saint-Mars-la-Jaille;;1910;256;;;135 Régiment d'infanterie;Mourmelon le Petit;Marne;23;Saint-Mars-la-Jaille;Saint-Mars-la-Jaille;;Sergent;Nécropole Nationale Mourmelon le Petit;1
7065;15/06/1880;Champtocé;;1900;3;;;64 Régiment d'infanterie;Selles;Pas-de-Calais;34;Varades;Fresne-sur-Loire, Le;;Sergent;;1
7066;06/05/1890;Lusanger;;1910;470;;;9 Régiment du génie;Becquigny;Somme;27;Derval;Lusanger;;Sergent;;1
7067;20/04/1882;Louisfert;;;;;;64 Régiment d'infanterie;Tahure;Marne;33;;Saint-Aubin-des-Châteaux;;Soldat;;1
7068;04/01/1890;Soudan;menuisier;;534;;;135 Régiment d'infanterie;Prosnes;Marne;24;Châteaubriant;Soudan;le Bourg;Sergent;;1
7070;19/11/1883;Thouaré-sur-Loire;;1903;1556;;;64 Régiment d'infanterie;Serre;Pas-de-Calais;31;Carquefou;Thouaré-sur-Loire;;Soldat;;1
7071;27/12/1898;Vertou;;;;;;154 Régiment d'infanterie;Candor;Oise;19;;Vertou;;Soldat;Nécropole Nationale Cuts;1
7072;;;;;;;;;;;;;Vigneux-de-Bretagne;;Soldat;;0
7073;21/09/1890;Conquereuil;;1910;2421;;;93 Régiment d'infanterie;Saint Germain en Laye;Seine-et-Oise;24;Guémené-Penfao;Conquereuil;;Soldat;Carré Militaire Saint Germain en Laye;1
7074;17/01/1879;Conquereuil;;1899;2240;;;283 Régiment d'infanterie;Secteur de Moreval Coutecon;Aisne;38;Guémené-Penfao;Conquereuil;;Soldat;Nécropole Nationale Cerny en Laonnois;1
7075;21/10/1887;Cordemais;cultivateur;1907;2241;;;265 Régiment d'infanterie;Ginchy;Somme;26;Saint-Etienne-de-Montluc;Couëron;;Soldat;Cimetière de Guillemont;1
7076;06/01/1870;Derval;;1890;;;;11 Section de commis et d'ouvriers d'administration;Nantes - Hôpital Militaire Baur;Loire Inférieure;46;Derval;Derval;;Soldat;;0
7077;19/07/1888;Issé;;;;;;93 Régiment d'infanterie;Mesnil-les-Hurlus;Marne;27;;Issé;;Soldat;;1
7078;06/09/1894;Joué-sur-Erdre;cultivateur;;275;;;153 Régiment d'infanterie;Hardecourt;Somme;21;Riaillé;Joué-sur-Erdre;;Soldat;;1
7079;12/03/1886;Pannecé;charpentier;1906;322;;;264 Régiment d'infanterie;Saint Soupplets;Seine-et-Marne;28;Chapelle-sur-Erdre, La;Chapelle-sur-Erdre, La;;Soldat;;1
7080;13/09/1890;Louisfert;;1910;686;;;135 Régiment d'infanterie;Zonnebecke;Belgique;24;Moisdon-la-Rivière;Louisfert;;Soldat;;1
7081;26/11/1885;Moisdon-la-Rivière;;;;;;264 Régiment d'infanterie;Saint Crépin aux Bois;Oise ;29;;Moisdon-la-Rivière;;Soldat;;1
7082;24/11/1873;Nantes;;;;;;265 Régiment d'infanterie;Compiègne - Hôpital militaire n°16;Oise;41;;Nantes;;Soldat;Cimetière de la miséricorde - Nantes;1
7083;22/04/1881;Paris;;;;;;4 Bataillon de chasseurs à pied;Habarcq;Pas-de-Calais;34;;Nantes;;Soldat;;0
7085;08/05/1894;Nantes;;;;;;3 Régiment d'infanterie coloniale;Ville sur Tourbe;Marne;20;;Nantes;;Soldat;;1
7086;23/05/1884;Pannecé;;1904;208;;;64 Régiment d'infanterie;Boisselle, La;Somme;30;Riaillé;Pannecé;;Soldat;;1
7088;16/01/1896;Petit-Auverné;;1916;209;;;135 Régiment d'infanterie;Chalons sur Vesle - Ambulance 4/1;Marne;21;Saint-Julien-de-Vouvantes;Petit-Auverné;;Soldat;Nécropole Nationale La Maison Bleue - Cormicy;1
7089;21/03/1900;Couëron;;;;;;3 Dépôt des équipages de la flotte;Port Louis - Hôpital Maritime  ;Morbihan;18;Saint-Etienne-de-Montluc;Couëron;;Matelot ;Carré Militaire Port Louis - Tombe 51;0
7090;28/10/1873;Nantes;;;;;;81 Régiment d'infanterie territoriale;Fricourt;Somme;40;;Nantes;;Soldat;;1
7091;11/12/1875;Nantes;;;;;;6 Régiment du génie;La Butte d'Edmond;Aisne;41;;Nantes;;caporal fourrier;;1
7092;07/03/1889;Saint-Mars-de-Coutais;;1909;3029;;;118 Régiment d'infanterie;Saint Gilles - Ambulance 10/21;Marne ;28;Machecoul;Saint-Mars-de-Coutais;;Soldat;Nécropole Nationale La Croix Ferlin - Bligny;1
7093;09/03/1885;Issé;;;;;;64 Régiment d'infanterie;Ostel;Aisne;33;;Issé;;Soldat;;1
7094;03/03/1881;Angers;;;;;;216 Régiment d'infanterie;Villeneuve Saint Germain;Aisne;34;;Nantes;;Soldat;;1
7095;28/02/1897;Paris;;;;;;77 Régiment d'infanterie;Conty - Ambulance 3/44;Somme;21;;Nantes;;Soldat;Nécropole Nationale Saint Acheul - Amiens;1
7096;03/05/1888;Saint-Nazaire;étudiant;1908;303;;;35 Régiment d'artillerie;Verdun - Les Planchettes;Meuse;33;Ancenis;Oudon;;Brigadier;;1
7097;;;;;;;;;;;;Paimboeuf;Saint-Brevin-les-Pins;;Soldat;;0
7098;10/09/1881;Saint-Hilaire-du-Bois;cultivateur;1901;;;;123 Régiment d'infanterie;ravin de la Caillette;Marne;35;Clisson;Saint-Hilaire-de-Clisson;Morinière;Soldat;;0
7099;13/09/1893;Vieillevigne;;;;;;51 Régiment d'infanterie;Chuignolles - Ambulance 8/2;Somme;22;;Nantes;;Caporal;;1
7100;16/09/1879;Vieillevigne;forgeron;1899;613;;;82 Régiment d'infanterie territoriale;Rivière;Pas-de-Calais;35;Aigrefeuille-sur-Maine;Vieillevigne;Moulin;Soldat;;1
7101;21/05/1896;Saint-Colomban;cultivateur;1916;2579;;;328 Régiment d'infanterie;Berny en Santerre;Somme;20;Saint-Philbert-de-Grand-Lieu;Saint-Colomban;;Soldat;;1
7102;01/02/1888;Saint-Fiacre-sur-Maine;cultivateur;1908;1244;;;64 Régiment d'infanterie;Ecury-le-Repos;Marne;26;Vertou;Saint-Fiacre-sur-Maine;;Soldat;;1
7103;02/08/1882;Saint-Fiacre-sur-Maine;cultivateur;1902;1455;;;264 Régiment d'infanterie;Dax;Landes;32;Vertou;Saint-Fiacre-sur-Maine;;Soldat;Carré Militaire Dax;1
7104;31/12/1888;Saint-Hilaire-de-Clisson;cultivateur;1908;1235;;;77 Régiment d'infanterie;Barly;Pas-de-Calais;26;Clisson;Saint-Hilaire-de-Clisson;Tillou;Soldat;Nécropole Nationale Barly - Tombe 65;1
7105;30/11/1884;Saint-Lumine-de-Clisson;;1904;1129;;;147 Régiment d'infanterie;Le Bois Haut - Tranchée de Calonne;Meuse;30;Clisson;Saint-Lumine-de-Clisson;;Soldat;Nécropole Nationale Douaumont - Fleury devant Douaumont - Tombe 7328;1
7106;28/10/1883;Saint-Lumine-de-Clisson;;1903;1083;;;64 Régiment d'infanterie;Amiens;Somme;31;Clisson;Saint-Lumine-de-Clisson;;Soldat;;1
7107;02/01/1885;Saint-Lumine-de-Clisson;;1905;1016;;;64 Régiment d'infanterie;Bécourt la Boisselle;Somme;29;Clisson;Saint-Lumine-de-Clisson;;Soldat;;1
7108;03/02/1897;Saint-Hilaire-du-Bois;;;;;;91 Régiment d'infanterie;La Forêt de Retz - Commune de Longpont;Aisne;21;;Aigrefeuille-sur-Maine;;Soldat;Nécropole Nationale Villers Cotterets;1
7109;28/10/1896;Loroux-Bottereau, Le;étudiant;1916;1501;;;135 Régiment d'infanterie;Mirecourt - Hôpital 103;Vosges;19;Vertou;Château-Thébaud;;Soldat;Carré Militaire Mirecourt - Tombe collective 61;1
7110;06/06/1890;Remouillé;cultivateur;1910;1337;;;135 Régiment d'infanterie;Bièvre;Belgique;24;Vertou;Haie-Fouassière, La;Bégrolles;Soldat;Cimetière Militaire Franco - Allemand - Maissin;1
7111;17/06/1885;Remouillé;cultivateur;1905;1356;;;264 Régiment d'infanterie;Estrées;Somme;31;Vertou;Haie-Fouassière, La;Bégrolles;Soldat;;1
7112;19/09/1874;Legé;;1894;15;;;291 Régiment d'infanterie territoriale;Nantes - Hôpital Broussais;Loire Inférieure;44;Legé;Legé;;Soldat;Carré Militaire Nantes La Bouteillerie;1
7113;04/06/1886;Legé;maçon;1906;415;;;65 Régiment d'infanterie;Fère-Champenoise, La;Marne;28;Legé;Legé;La Garrelière;Soldat;;1
7114;19/05/1887;Maisdon-sur-Sèvre;cultivateur;1907;1595;;;411 Régiment d'infanterie;Elincourt;Oise;31;Aigrefeuille-sur-Maine;Maisdon-sur-Sèvre;;Soldat;Nécropole Nationale Vignemont;1
7115;05/10/1884;Saint-Philibert-de-Bouaine;;;;;;2 Régiment d'infanterie;Saint Laurent Blangy;Pas-de-Calais;30;;Nantes;;Soldat;;1
7116;15/12/1891;Mont-Saint-Jean;;;;;;2 Régiment d'infanterie coloniale;Guéret - Hôpital n°3;Creuse;23;;Malville;;Soldat;Carré Militaire Guéret;1
7117;06/06/1895;Montrelais;;1915;133;;;6 Régiment du génie;Hangest en Santerre - Ambulance n°3/75;Somme;21;Varades;Montrelais;;Caporal;Nécropole Nationale Montdidier;1
7118;02/07/1887;Marquion;;;;;;326 Régiment d'infanterie;Saint-Nazaire Hôpital Bénévole n°9 Bis;Loire Inférieure;28;;Saint-Nazaire;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
7119;28/09/1888;Erbray;;1908;709;;;135 Régiment d'infanterie;Ypres   ;Belgique;26;Châteaubriant;Châteaubriant;;Soldat;Leper Saint Charles de Potyze;1
7120;01/11/1895;Saint-Sébastien;journalier;1915;2397;;;9 Régiment mixte de zouaves;Cerisy-Sailly;Somme;20;Nantes;Saint-Sébastien-sur-Loire;Douet;Soldat;;1
7121;;;;;;;;;;;;;Nantes;;;;1
7122;;;;;;;;;;;;;Nantes;;;;0
7124;22/12/1888;Saint-Philbert-de-Bouaine;étudiant;1908;1475;;;293 Régiment d'infanterie;Bulson;Ardennes;25;Legé;Corcoué-sur-Logne;;Sergent-Major;Nécropole Nationale La Marfée - Noyers Pont Maugis;1
7125;07/07/1875;Bordeaux;;1895;;;;57 Régiment d'infanterie;Beaulne;Aisne;39;Bouaye;Rezé;;Soldat;Cimetière Saint-Pierre de Rezé;0
7126;;;;;;;;;;;;;Nantes;;;;0
7127;11/08/1893;Dinan;;;;;;77 Régiment d'infanterie;Zonnebecke;Belgique;21;;Nantes;;Sous-Lieutenant;;0
7128;28/10/1875;Champtocé;;;;;;108 Régiment d'artillerie lourde;Moreuil - Ambulance 13/16;Somme;41;;Nantes;;Canonnier ;Nécropole Nationale Montdidier;0
7129;04/02/1882;Chapelle-Basse-Mer, La;cultivateur;1902;1639;;;64 Régiment d'infanterie;Amiens ;Somme;32;Loroux-Bottereau, Le;Chapelle-Basse-Mer, La;Caroil-du-Pin;Soldat;;1
7130;12/02/1884;Saint-Père-en-Retz;;1904;311;;;265 Régiment d'infanterie;Davenescourt;Somme;32;Bourgneuf-en-Retz;Bernerie-en-Retz, La;;Soldat ;;1
7131;15/01/1890;Magescq;;;;;;;Saint-Nazaire Hôpital Temporaire n°22;Loire Inférieure;24;;Saint-Nazaire;;Soldat;Carré Militaire Toutes Aides - Saint Nazaire;0
7132;27/09/1883;Puceul;;;;;;64 Régiment d'infanterie;Boisselle, La;Somme;31;;Puceul;;Soldat;;1
7133;18/08/1879;Pléchâtel;;;;;;65 Régiment d'infanterie;Hébuterne;Pas-de-Calais;35;;Notre-Dame-des-Landes;;Soldat;Nécropole Nationale Notre Dame de Lorette - Ablain Saint Nazaire;0
7134;22/04/1889;Saffré;laboureur;1909;771;;;265 Régiment d'infanterie;Fay;Somme;27;Nozay;Saffré;;Soldat;;1
7135;04/07/1889;Maisdon-sur-Sèvre;cultivateur;1909;1432;;;93 Régiment d'infanterie;Chaumont-Saint-Quentin;Ardennes;25;Vertou;Saint-Fiacre-sur-Maine;;Soldat;;1
7136;11/04/1897;Monnières;cultivateur;1917;1582;;;94 Régiment d'infanterie;Berry-au-Bac;Aisne;30;Aigrefeuille-sur-Maine;Maisdon-sur-Sèvre;;Soldat;Nécropole Nationale Berry-au-Bac;1
7137;08/07/1881;Sion-les-Mines;;;721;;;64 Régiment d'infanterie;Quennevières;Oise;33;Derval;Sion-les-Mines;;Caporal;;0
7138;;;;;;;;;;;;;Nantes;;;;0
7139;22/04/1890;Croisic, Le;;1910;3377;;;Chalutier Ginette;Disparu en Mer lors de la perte de La Ginette;Au large de Corfou;25;Croisic, Le;Croisic, Le;;Matelot ;;1
7140;;;;;;;;;;;;;Nantes;;;;1
7141;23/04/1883;Nozay;;;;;;64 Régiment d'infanterie;Nozay;Loire Inférieure;34;;Nozay;;Soldat;;1
7142;06/06/1892;Nozay;;;;;;128 Régiment d'infanterie;Esnes - Côte 304;Meuse;25;;Nozay;;Soldat;;1
7143;17/05/1887;Derval;;1907;720;;;64 Régiment d'infanterie;Mailly-Maillet;Somme;27;Derval;Derval;;Soldat;;1
7144;20/11/1896;Pellerin, Le;manœuvre;1916;443;;;328 Régiment d'infanterie;Berny-en-Santerre;Somme;19;Pellerin, Le;Saint-Jean-de-Boiseau;;Soldat;;1
7145;23/08/1889;Arthon-en-Retz;;1909;2691;;;137 Régiment d'infanterie;1ère Bataille de la Marne ;Marne;25;Pellerin, Le;Saint-Jean-de-Boiseau;;Soldat;;1
7146;1881;;;;;;;82 Régiment d'infanterie territoriale;Le Pallet;Loire Inférieure;37;;Pallet, Le;;Soldat;;0
7147;25/03/1883;Pallet, Le;maçon;1903;1230;;;64 Régiment d'infanterie;Serre;Pas-de-Calais;32;Vallet;Pallet, Le;Saint-Michel;Soldat;;1
7148;02/05/1882;Oudon;;;;;;4 Régiment d'infanterie;Vaubécourt;Meuse;32;;Nantes;;Caporal;;0
7149;10/10/1897;Rennes;;;;;;123 Régiment d'infanterie;Courlandon - Hôpital n°13;Marne;19;;Nantes;;Aspirant;Nécropole Nationale La Maison Bleue - Cormicy;1
7150;10/03/1890;Nantes;;;;;;6 Régiment du génie;Arras - Couvent du Saint Sacrement;Pas-de-Calais;24;;Nantes;;Maitre Ouvrier;;1
7151;16/12/1887;Grand-Auverné;;1907;214;;;64 Régiment d'infanterie;Ostel;Aisne;30;Saint-Mars-la-Jaille;Saint-Mars-la-Jaille;;Soldat;;1
7152;14/11/1880;Grand-Auverné;;;;;;264 Régiment d'infanterie;Jaulzy;Oise;34;;Nantes;;Soldat;;1
7153;20/07/1888;Nantes;;;;;;118 Régiment d'infanterie;Lenharrée;Marne;26;;Nantes;;Soldat;;1
7154;02/04/1880;Saint-Aubin-des-Châteaux;;;;;;264 Régiment d'infanterie;Saint Crépin au Bois;Oise;35;;Saint-Aubin-des-Châteaux;;Soldat;Nécropole Nationale Royallieu - Compiegne;1
7155;09/06/1893;Châteaubriant;;1913;640;;;15 Bataillon de chasseurs à pied;Riom ;Puy-de-Dôme;25;Châteaubriant;Châteaubriant;;Soldat;;1
7156;18/03/1889;Châteaubriant;;1909;654;;;64 Régiment d'infanterie;Maissin;Belgique;25;Châteaubriant;Châteaubriant;;Soldat;;1
7157;13/04/1883;Bernerie-en-Retz, La;;1903;1605;;;61 Régiment d'infanterie;Halveur;Serbie;34;Bourgneuf-en-Retz;Bernerie-en-Retz, La;;Sergent;;1
7158;03/03/1884;Campbon;;;999;;;265 Régiment d'infanterie;Ginchy;Oise;30;Savenay;Campbon;La Jugelais;Soldat;;1
7159;15/02/1880;Campbon;;;3064;;;265 Régiment d'infanterie;Moulin-sous-Touvent;Oise;34;Savenay;Campbon;La Jugelais;Soldat;Nécropole Nationale Vic-sur-Aisne;1
7161;1895;;;1915;;;;146 Régiment d'infanterie;Saint Jean;Belgique;21;Paimboeuf;Corsept;;Soldat;;0
7162;31/08/1889;Nantes;;;;;;93 Régiment d'infanterie;Thiaumont - Combats de Verdun;Meuse;26;;Nantes;;Soldat;;1
7163;02/04/1886;Nantes;;;;;;265 Régiment d'infanterie;Villers Saint Genest;Oise;28;;Nantes;;Soldat;;1
7164;;;;;;;;;;;;;Nantes;;;;0
7165;05/08/1892;Cordemais;domestique;1912;2546;;;5 Batterie d'artillerie coloniale du Maroc;Casta Tadla;Maroc;24;Saint-Etienne-de-Montluc;Cordemais;;Canonnier;;1
7166;12/05/1896;Pontchâteau;;1916;2852;;;77 Régiment d'infanterie;Compiègne - Hôpital Temporaire 16;Oise;20;Pontchâteau;Pontchâteau;;Soldat;Nécropole Nationale Royallieu - Compiégne;1
7167;17/07/1892;Pontchâteau;;1912;1608;;;337 Régiment d'infanterie;Chaudefontaine - Ambulance 3/151;Marne;23;Pontchâteau;Pontchâteau;;Soldat;;1
7168;09/04/1888;Saint-Molf;;1908;3321;;;65 Régiment d'infanterie;Bois de la Marfée;Ardennes;26;Guérande;Saint-Molf;;;Nécropole Nationale Sedan Torcy;1
7170;24/09/1881;Saint-Nazaire;;;;;;70 Régiment d'infanterie;Roclincourt;Pas-de-Calais;33;;Saint-Nazaire;;Soldat;;1
7171;;;;;;;;;;;;;Saint-Nazaire;;Soldat;;0
7172;07/08/1885;Saint-Mars-du-Désert;cultivateur;1905;597;non;;264 Régiment d'infanterie;Malmaison;Aisne;32;Nort-sur-Erdre;Petit-Mars;;Soldat;Nécropole Nationale Bois Roger - Ambleny - Tombe A475;1
7173;07/12/1891;Saint-Etienne-de-Montluc;;;;;;31 Régiment d'infanterie;Montigny sur Vesle;Marne;25;;Savenay;;;Nécropole Nationale La Maison Bleue;0
7174;02/09/1894;Saint-Etienne-de-Montluc;;;;;;66 Régiment d'infanterie;Esnes - Cote 304;Meuse;21;;Savenay;;Soldat;;1
7175;17/03/1880;Nantes;;;;;;65 Régiment d'infanterie;Miraumont - Ambulance;Somme;34;;Nantes;;Soldat;;1
7176;24/10/1880;Anetz;inspecteur d'assurance;1900;1785;;;264 Régiment d'infanterie;Ambulance 13/16, Moreuil-Lespinoy;Somme;35;Nantes;Nantes;2 place Saint-Similien;Sergent;Nécropole Nationale Montdidier;1
7177;12/11/1889;Nantes;étudiant;1907;;oui;1907;3 Régiment de marche de zouaves;Chambry;Meurthe-et-Moselle;24;Nantes;Nantes;;Sous-Lieutenant;Cimetière de la miséricorde - Nantes;0
7178;06/03/1895;Saint-Aubin-des-Châteaux;;;;;;21 Régiment d'infanterie;Orfeuil;Ardennes;23;;Saint-Aubin-des-Châteaux;;Soldat;;1
7179;21/01/1883;Saint-Philbert-de-Grand-Lieu;cultivateur;1903;1212;;;65 Régiment d'infanterie;Hébuterne;Pas-de-Calais;32;Saint-Philbert-de-Grand-Lieu;Saint-Philbert-de-Grand-Lieu;;Soldat;;1
7181;21/05/1890;Sautron;cultivateur;1910;447;;;65 Régiment d'infanterie;Thiaumont;Meuse;26;;Sautron;Chatillon;Caporal;;1
7182;18/03/1892;Sautron;Domestique;1912;2548;;;137 Régiment d'infanterie;Acheux - Ambulance n°8;Somme;23;Chapelle-sur-Erdre, La;Sautron;La Thomazière;Caporal;Cimetière communal d'Acheux;1
7183;03/03/1894;Frossay;;1914;964;;;66 Régiment d'infanterie;Chevreux;Aisne;23;Saint-Père-en-Retz;Frossay;;Caporal;;1
7184;08/02/1886;Montbert;maçon;1906;;;;64 Régiment d'infanterie;Mesnil-les-Hurlus;Marne ;29;Vertou;Sorinières, Les;;Caporal;Nécropole Nationale La Crouée - Souain-Perthes-les-Hurlus - Carré 2E, tombe 1755;1
